tumour	normal
A373R1	A373R2
A373R3	A373R4
A373R5	A373R6
A373R7	A373R8
A373R9	A373R10
A373R11	A373R12
A373R13	A373R14
A512R17	A512R18
A512R19	A512R20
A512R21	A512R22
A512R23	A512R24
A573R25	A573R26
A573R27	A573R28
A573R29	A573R30
A573R31	A573R32
A573R33	A573R34
A785-A788R1	A785-A788R2
A785-A788R3	A785-A788R4
A785-A788R5	A785-A788R6
A785-A788R7	A785-A788R8
A785-A788R9	A785-A788R10
A785-A788R11	A785-A788R12
B241R35	B241R36
B241R37	B241R38
B241R39	B241R40
B241R43	B241R44
B241R45	B241R46
B241R49	B241R50
B241R51	B241R52
B241R53	B241R54
B241R55	B241R56
B241R57	B241R58
B241R59	B241R60
B241R61	B241R62
B241R63	B241R64
B241R41-1	B241R42-1
B241R41-2	B241R42-2
D050R01	D050R02
D050R03	D050R04
D050R05	D050R06
D050R07-1	D050R08-1
D050R07-2	D050R08-2
D050R10	D050R11
D050R12	D050R13
D050R14	D050R15
D050R16	D050R17
D050R18	D050R19
D050R20	D050R21
D050R22	D050R23
D050R24	D050R25
D106R1	D106R2
D106R3	D106R4
D106R5	D106R6
D106R7	D106R8
D106R9	D106R10
D106R11	D106R12
D106R13	D106R14
D106R15	D106R16
D106R17	D106R18
D106R19	D106R20
D106R21	D106R22
D106R23	D106R24
D106R25	D106R26
D106R27	D106R28
D106R29	D106R30
D106R31	D106R32
D106R33	D106R34
HUM-1	HUM-3
HUM-4	HUM-6
HUM-7	HUM-9
D197R01	D197R02
D197R03	D197R04
D197R05	D197R06
D197R07	D197R08
D197R09	D197R10
D197R11	D197R12
D197R13	D197R14
D197R15	D197R16
D265R01	D265R02
D265R03	D265R04
D265R05	D265R06
D265R07	D265R08
D265R09	D265R10
D265R11	D265R12
D265R13	D265R14
D477R01	D477R02
D477R03	D477R04
D477R05	D477R06
D477R07	D477R08
D477R09	D477R10
D477R11	D477R12
D477R13	D477R14
D477R15	D477R16
D477R17	D477R18
D477R19	D477R20
